id;alias;phone;city;address;reference_address;user_id
1;unripe notwithstanding;962 181 370;Sevilla;unrealistic;meh mosh;1
2;alongside;929.575.057;Lugo;crushing beyond ethnicity;rifle insist smother;2
3;below complete;961.898.053;Chiclana de la Frontera;to than;off-ramp monthly;1
4;whenever during incompatible;967.239.579;Manresa;essay hence;ack;1
5;prostrate consequently cross;939590657;Chiclana de la Frontera;slushy accoutre ah;massive yum afore;1
6;mid including;960-308-688;Elche;offensive blah;uh-huh;1
7;whereas upside-down partial;914-310-873;Avilés;plump;popcorn pro;2
8;wherever;917-860-400;Valencia;defray amidst cheater;alongside hero;1
9;partial;938.466.718;Ávila;intercept visor;with;1
10;and along beautiful;919.933.881;El Prat de LLobregat;pirate lovingly;dad;2
